full_image_url,top_color,top_category,top_pattern,bottom_color,bottom_category,bottom_pattern,top_url,bottom_url
https://dummy.full/36,Purple,Sweatshirt,Striped,Beige,Skirt,Striped,https://dummy.top/36,https://dummy.bottom/36
https://dummy.full/37,Blue,Blazer,Striped,White,Pants,Spotted,https://dummy.top/37,https://dummy.bottom/37
https://dummy.full/38,Purple,Vest,Spotted,Blue,Jeans,Striped,https://dummy.top/38,https://dummy.bottom/38
https://dummy.full/39,Brown,Vest,Plaid,White,Pants,Striped,https://dummy.top/39,https://dummy.bottom/39
https://dummy.full/40,Brown,Jacket,Spotted,Brown,Skirt,Floral,https://dummy.top/40,https://dummy.bottom/40
https://dummy.full/41,Orange,Vest,Floral,White,Pants,Spotted,https://dummy.top/41,https://dummy.bottom/41
https://dummy.full/42,Red,Cardigan,Striped,Brown,Jeans,Plaid,https://dummy.top/42,https://dummy.bottom/42
https://dummy.full/43,Orange,Jacket,Solid,Beige,Jeans,Spotted,https://dummy.top/43,https://dummy.bottom/43
https://dummy.full/44,White,Blazer,Spotted,Purple,Pants,Solid,https://dummy.top/44,https://dummy.bottom/44
https://dummy.full/45,Purple,Sweater,Plaid,Green,Skirt,Solid,https://dummy.top/45,https://dummy.bottom/45
https://dummy.full/46,Green,Cardigan,Striped,Pink,Skirt,Striped,https://dummy.top/46,https://dummy.bottom/46
https://dummy.full/47,Black,Jacket,Plaid,Purple,Skirt,Striped,https://dummy.top/47,https://dummy.bottom/47
https://dummy.full/48,Green,Shirt,Plaid,Green,Jeans,Striped,https://dummy.top/48,https://dummy.bottom/48
https://dummy.full/49,Green,Blazer,Striped,Gray,Jeans,Spotted,https://dummy.top/49,https://dummy.bottom/49
